scenario,ev,alg,metric,seed,value
od500k,vehev2,allgreen,tl,6479,97.73
od500k,vehev2,allgreen,rt,6479,20573.08
od500k,vehev2,allgreen,ttt,6479,993.00
od500k,vehev3,no-preemption,tl,14368,885.35
od500k,vehev3,no-preemption,rt,14368,21361.15
od500k,vehev3,no-preemption,ttt,14368,1617.00
od500k,vehev2,allgreen,tl,11718,1216.69
od500k,vehev2,allgreen,rt,11718,20970.57
od500k,vehev2,allgreen,ttt,11718,2111.00
od500k,vehev3,tpn2,tl,16993,123.16
od500k,vehev3,tpn2,rt,16993,14473.47
od500k,vehev3,tpn2,ttt,16993,855.00
od500k,vehev3,no-preemption,tl,24847,975.99
od500k,vehev3,no-preemption,rt,24847,20162.49
od500k,vehev3,no-preemption,ttt,24847,1708.00
od500k,vehev3,kapusta2,tl,22570,506.75
od500k,vehev3,kapusta2,rt,22570,16929.51
od500k,vehev3,kapusta2,ttt,22570,1238.00
od500k,vehev1,tpn2,tl,32556,213.67
od500k,vehev1,tpn2,rt,32556,22918.49
od500k,vehev1,tpn2,ttt,32556,1434.00
od500k,vehev2,no-preemption,tl,22760,1256.45
od500k,vehev2,no-preemption,rt,22760,20609.70
od500k,vehev2,no-preemption,ttt,22760,2152.00
od500k,vehev3,no-preemption,tl,10105,974.70
od500k,vehev3,no-preemption,rt,10105,22861.92
od500k,vehev3,no-preemption,ttt,10105,1707.00
od500k,vehev3,allgreen,tl,227,69.90
od500k,vehev3,allgreen,rt,227,17015.00
od500k,vehev3,allgreen,ttt,227,801.00
od500k,vehev3,tpn,tl,30366,92.58
od500k,vehev3,tpn,rt,30366,20079.25
od500k,vehev3,tpn,ttt,30366,825.00
od500k,vehev2,no-preemption,tl,27422,1612.73
od500k,vehev2,no-preemption,rt,27422,22673.49
od500k,vehev2,no-preemption,ttt,27422,2507.00
od500k,vehev1,kapusta,tl,2094,135.13
od500k,vehev1,kapusta,rt,2094,31154.55
od500k,vehev1,kapusta,ttt,2094,1357.00
od500k,vehev1,kapusta2,tl,11718,360.04
od500k,vehev1,kapusta2,rt,11718,17672.33
od500k,vehev1,kapusta2,ttt,11718,1582.00
od500k,vehev1,tpn2,tl,14368,266.09
od500k,vehev1,tpn2,rt,14368,15953.11
od500k,vehev1,tpn2,ttt,14368,1487.00
od500k,vehev1,no-preemption,tl,227,1580.94
od500k,vehev1,no-preemption,rt,227,21715.50
od500k,vehev1,no-preemption,ttt,227,2802.00
od500k,vehev1,kapusta2,tl,10280,390.77
od500k,vehev1,kapusta2,rt,10280,22065.92
od500k,vehev1,kapusta2,ttt,10280,1612.00
od500k,vehev1,kapusta2,tl,15239,322.91
od500k,vehev1,kapusta2,rt,15239,21308.75
od500k,vehev1,kapusta2,ttt,15239,1544.00
od500k,vehev3,kapusta2,tl,27548,320.99
od500k,vehev3,kapusta2,rt,27548,19031.41
od500k,vehev3,kapusta2,ttt,27548,1052.00
od500k,vehev3,tpn,tl,16993,97.27
od500k,vehev3,tpn,rt,16993,20571.62
od500k,vehev3,tpn,ttt,16993,830.00
od500k,vehev1,tpn2,tl,6479,388.80
od500k,vehev1,tpn2,rt,6479,15102.99
od500k,vehev1,tpn2,ttt,6479,1609.00
od500k,vehev3,kapusta2,tl,32668,470.15
od500k,vehev3,kapusta2,rt,32668,13302.71
od500k,vehev3,kapusta2,ttt,32668,1202.00
od500k,vehev1,allgreen,tl,12837,95.81
