scenario,ev,alg,seed,tl,rt,ttt,eff,imp,teleported
cologne,vehev2,allgreen,6479,1954.40,41973.79,2269.00,314.5999999999999,1.047303520261973,False
cologne,vehev2,allgreen,11718,1144.33,35778.03,1459.00,314.6700000000001,,False
cologne,vehev3,tpn2,16993,446.14,16314.22,968.00,521.86,2.077329986103017,False
cologne,vehev3,no-preemption,24847,716.10,17005.31,1238.00,521.9,,False
cologne,vehev2,no-preemption,22760,2703.89,46512.07,3019.00,315.1100000000001,,False
cologne,vehev3,no-preemption,10105,863.34,17387.79,1386.00,522.66,,False
cologne,vehev1,kapusta2,11718,18504.53,75398.12,18929.00,424.47000000000116,1.2112407070052575,False
cologne,vehev1,tpn2,6479,758.21,31580.60,1183.00,424.78999999999996,7.877474578283061,False
cologne,vehev3,kapusta2,32668,960.91,18156.93,1483.00,522.09,2.3984348169963887,False
cologne,vehev3,allgreen,10105,275.11,15575.06,798.00,522.89,3.1381629166515213,False
cologne,vehev1,allgreen,22760,5224.15,57687.85,5649.00,424.85000000000036,-1.2811417136495058,False
cologne,vehev3,allgreen,2094,346.46,16249.52,869.00,522.54,4.251168966114414,False
cologne,vehev1,no-preemption,31737,7138.30,62324.53,7563.00,424.6999999999998,,False
cologne,vehev3,allgreen,30616,216.40,16814.06,739.00,522.6,3.216682070240296,False
cologne,vehev1,tpn2,17651,9389.89,65256.39,9815.00,425.1100000000006,-1.2864431416980975,False
cologne,vehev1,allgreen,16993,,66436.66,,,,True
cologne,vehev1,allgreen,21907,9826.82,64743.56,10252.00,425.1800000000003,-1.4182407546385563,False
cologne,vehev1,kapusta2,10105,15725.99,75581.51,16151.00,425.0100000000002,-1.4448245004759122,False
cologne,vehev3,allgreen,20276,279.65,16653.67,802.00,522.35,3.6585016985517615,False
cologne,vehev3,tpn2,30616,436.97,17528.01,959.00,522.03,1.5929926539579375,False
cologne,vehev2,allgreen,21907,260.66,25682.98,576.00,315.34,51.70597713496508,False
cologne,vehev3,kapusta2,11718,230.96,15289.96,753.00,522.04,3.429944579147904,False
cologne,vehev1,allgreen,2094,7193.36,63284.02,7618.00,424.6400000000003,1.1999357741027836,False
cologne,vehev1,kapusta2,6479,507.60,29753.84,932.00,424.4,11.766706067769897,False
cologne,vehev2,allgreen,12811,1449.52,37545.25,1764.00,314.48,1.755394889342679,False
cologne,vehev2,allgreen,10105,194.73,25859.87,510.00,315.27,14.922097262876806,False
cologne,vehev1,kapusta2,16993,9379.38,64230.96,9804.00,424.6200000000008,1.421911682861767,False
cologne,vehev2,kapusta2,16993,3738.59,49116.20,4054.00,315.40999999999985,1.3430544670584363,False
cologne,vehev3,tpn2,22760,352.43,15658.97,875.00,522.5699999999999,2.4627018131260106,False
cologne,vehev2,no-preemption,12811,2544.48,44384.43,2860.00,315.52,,False
cologne,vehev1,tpn2,20276,7157.20,58717.54,7582.00,424.8000000000002,1.4503157659419885,False
cologne,vehev3,no-preemption,20276,1023.10,18622.93,1545.00,521.9,,False
cologne,vehev3,allgreen,12811,153.33,14301.64,676.00,522.67,6.171590686754059,False
cologne,vehev1,no-preemption,22760,4077.73,53452.23,4503.00,425.27,,False
cologne,vehev2,kapusta2,10105,,19916.55,,,,True
cologne,vehev3,allgreen,32668,236.84,15916.54,759.00,522.16,9.730957608512075,False
cologne,vehev3,tpn2,30366,628.71,17601.75,1151.00,522.29,2.819010354535477,False
cologne,vehev2,no-preemption,24847,,27097.53,,,,True
cologne,vehev2,no-preemption,10105,2905.78,47003.56,3221.00,315.2199999999998,,False
cologne,vehev3,tpn2,32668,225.84,15708.95,748.00,522.16,10.204923839886645,False
