scenario,ev,alg,metric,seed,value
turin,vehev1,kapusta2,tl,11718,1620.28
turin,vehev1,kapusta2,rt,11718,8131.72
turin,vehev1,kapusta2,ttt,11718,2413.00
turin,vehev1,tpn2,tl,6479,109.09
turin,vehev1,tpn2,rt,6479,4280.37
turin,vehev1,tpn2,ttt,6479,962.00
turin,vehev1,allgreen,tl,22760,824.71
turin,vehev1,allgreen,rt,22760,6334.32
turin,vehev1,allgreen,ttt,22760,1569.00
turin,vehev1,no-preemption,tl,31737,8493.66
turin,vehev1,no-preemption,rt,31737,40359.93
turin,vehev1,no-preemption,ttt,31737,9268.00
turin,vehev1,tpn2,tl,17651,250.60
turin,vehev1,tpn2,rt,17651,4952.19
turin,vehev1,tpn2,ttt,17651,1047.00
turin,vehev1,allgreen,tl,16993,392.60
turin,vehev1,allgreen,rt,16993,5800.38
turin,vehev1,allgreen,ttt,16993,1436.00
turin,vehev1,allgreen,tl,21907,187.86
turin,vehev1,allgreen,rt,21907,4671.31
turin,vehev1,allgreen,ttt,21907,940.00
turin,vehev1,kapusta2,tl,10105,6213.61
turin,vehev1,kapusta2,rt,10105,29744.61
turin,vehev1,kapusta2,ttt,10105,6972.00
turin,vehev1,allgreen,tl,2094,425.53
turin,vehev1,allgreen,rt,2094,5424.73
turin,vehev1,allgreen,ttt,2094,1347.00
turin,vehev1,kapusta2,tl,6479,1485.01
turin,vehev1,kapusta2,rt,6479,7926.93
turin,vehev1,kapusta2,ttt,6479,2334.00
turin,vehev1,kapusta2,tl,16993,428.45
turin,vehev1,kapusta2,rt,16993,5931.84
turin,vehev1,kapusta2,ttt,16993,1472.00
turin,vehev1,tpn2,tl,20276,7336.08
turin,vehev1,tpn2,rt,20276,37285.14
turin,vehev1,tpn2,ttt,20276,8160.00
turin,vehev1,kapusta2,tl,6325,7738.38
turin,vehev1,kapusta2,rt,6325,29839.88
turin,vehev1,kapusta2,ttt,6325,8524.00
turin,vehev1,no-preemption,tl,22760,1077.46
turin,vehev1,no-preemption,rt,22760,6201.87
turin,vehev1,no-preemption,ttt,22760,1822.00
turin,vehev1,no-preemption,tl,6325,5758.44
turin,vehev1,no-preemption,rt,6325,23095.69
turin,vehev1,no-preemption,ttt,6325,6544.00
turin,vehev1,allgreen,tl,27548,913.16
turin,vehev1,allgreen,rt,27548,6634.55
turin,vehev1,allgreen,ttt,27548,1721.00
turin,vehev1,kapusta2,tl,2094,327.05
turin,vehev1,kapusta2,rt,2094,5410.96
turin,vehev1,kapusta2,ttt,2094,1247.00
turin,vehev1,tpn2,tl,31737,92.82
turin,vehev1,tpn2,rt,31737,4206.83
turin,vehev1,tpn2,ttt,31737,866.00
turin,vehev1,tpn2,tl,21907,8541.16
turin,vehev1,tpn2,rt,21907,41592.82
turin,vehev1,tpn2,ttt,21907,9293.00
turin,vehev1,allgreen,tl,12811,500.30
turin,vehev1,allgreen,rt,12811,5827.58
turin,vehev1,allgreen,ttt,12811,1323.00
turin,vehev1,kapusta2,tl,30366,787.69
turin,vehev1,kapusta2,rt,30366,6286.74
turin,vehev1,kapusta2,ttt,30366,1698.00
turin,vehev1,tpn2,tl,30616,205.46
turin,vehev1,tpn2,rt,30616,4861.71
turin,vehev1,tpn2,ttt,30616,962.00
turin,vehev1,kapusta2,tl,24847,9611.51
turin,vehev1,kapusta2,rt,24847,44577.55
turin,vehev1,kapusta2,ttt,24847,10373.00
turin,vehev1,no-preemption,tl,20276,9701.13
turin,vehev1,no-preemption,rt,20276,49612.23
turin,vehev1,no-preemption,ttt,20276,10526.00
turin,vehev1,no-preemption,tl,30616,1279.79
turin,vehev1,no-preemption,rt,30616,7347.79
turin,vehev1,no-preemption,ttt,30616,2035.00
turin,vehev1,kapusta2,tl,27226,230.68
turin,vehev1,kapusta2,rt,27226,4485.22
turin,vehev1,kapusta2,ttt,27226,981.00
turin,vehev1,allgreen,tl,22570,701.37
turin,vehev1,allgreen,rt,22570,5521.52
turin,vehev1,allgreen,ttt,22570,1408.00
turin,vehev1,tpn2,tl,27226,223.82
turin,vehev1,tpn2,rt,27226,4239.97
turin,vehev1,tpn2,ttt,27226,974.00
turin,vehev1,allgreen,tl,17651,105.88
turin,vehev1,allgreen,rt,17651,4785.99
turin,vehev1,allgreen,ttt,17651,901.00
turin,vehev1,no-preemption,tl,22737,12866.51
turin,vehev1,no-preemption,rt,22737,48424.65
turin,vehev1,no-preemption,ttt,22737,13737.00
turin,vehev1,kapusta2,tl,21907,11796.04
turin,vehev1,kapusta2,rt,21907,58988.79
turin,vehev1,kapusta2,ttt,21907,12548.00
turin,vehev1,no-preemption,tl,11718,2265.51
turin,vehev1,no-preemption,rt,11718,10713.73
turin,vehev1,no-preemption,ttt,11718,3059.00
turin,vehev1,allgreen,tl,30616,210.50
turin,vehev1,allgreen,rt,30616,4840.31
turin,vehev1,allgreen,ttt,30616,966.00
turin,vehev1,allgreen,tl,10105,1526.13
turin,vehev1,allgreen,rt,10105,8638.80
turin,vehev1,allgreen,ttt,10105,2285.00
turin,vehev1,allgreen,tl,24847,12520.34
turin,vehev1,allgreen,rt,24847,57412.94
turin,vehev1,allgreen,ttt,24847,13281.00
turin,vehev1,no-preemption,tl,16993,1427.54
turin,vehev1,no-preemption,rt,16993,8458.22
turin,vehev1,no-preemption,ttt,16993,2471.00
turin,vehev1,allgreen,tl,20276,6281.13
turin,vehev1,allgreen,rt,20276,31392.65
turin,vehev1,allgreen,ttt,20276,7106.00
turin,vehev1,no-preemption,tl,21907,14152.60
turin,vehev1,no-preemption,rt,21907,68129.05
turin,vehev1,no-preemption,ttt,21907,14905.00
turin,vehev1,kapusta2,tl,17651,12757.72
turin,vehev1,kapusta2,rt,17651,53871.29
turin,vehev1,kapusta2,ttt,17651,13553.00
turin,vehev1,kapusta2,tl,30616,217.51
turin,vehev1,kapusta2,rt,30616,4677.40
turin,vehev1,kapusta2,ttt,30616,974.00
turin,vehev1,tpn2,tl,22760,1376.49
turin,vehev1,tpn2,rt,22760,8046.70
turin,vehev1,tpn2,ttt,22760,2121.00
turin,vehev1,kapusta2,tl,22570,2691.93
turin,vehev1,kapusta2,rt,22570,10843.64
turin,vehev1,kapusta2,ttt,22570,3399.00
turin,vehev1,no-preemption,tl,27548,2694.82
turin,vehev1,no-preemption,rt,27548,11240.19
turin,vehev1,no-preemption,ttt,27548,3503.00
turin,vehev1,no-preemption,tl,12811,14322.18
turin,vehev1,no-preemption,rt,12811,70533.76
turin,vehev1,no-preemption,ttt,12811,15145.00
turin,vehev1,allgreen,tl,30366,429.41
turin,vehev1,allgreen,rt,30366,5504.77
turin,vehev1,allgreen,ttt,30366,1339.00
turin,vehev1,tpn2,tl,16993,266.07
turin,vehev1,tpn2,rt,16993,4648.91
turin,vehev1,tpn2,ttt,16993,1311.00
turin,vehev1,allgreen,tl,6325,5448.88
turin,vehev1,allgreen,rt,6325,22242.04
turin,vehev1,allgreen,ttt,6325,6234.00
turin,vehev1,tpn2,tl,12811,2282.38
turin,vehev1,tpn2,rt,12811,10391.83
turin,vehev1,tpn2,ttt,12811,3106.00
turin,vehev1,kapusta2,tl,27548,1142.38
turin,vehev1,kapusta2,rt,27548,6466.82
turin,vehev1,kapusta2,ttt,27548,1951.00
turin,vehev1,allgreen,tl,31737,126.96
turin,vehev1,allgreen,rt,31737,4478.80
turin,vehev1,allgreen,ttt,31737,902.00
turin,vehev1,no-preemption,tl,27226,4726.08
