scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev2,allgreen,6479,15058.90,135145.84,15954.00,895.1000000000004,34.062638063699445
od1500k,vehev3,no-preemption,14368,2218.57,55894.43,2950.00,731.4299999999998,
od1500k,vehev2,allgreen,11718,71901.27,510185.32,72795.00,893.7299999999959,-111.03945810485807
od1500k,vehev3,tpn2,16993,2022.86,57091.82,2754.00,731.1400000000001,42.23898667093076
od1500k,vehev3,no-preemption,24847,1469.14,56532.99,2202.00,732.8599999999999,
od1500k,vehev3,kapusta2,22570,1571.31,54710.95,2303.00,731.69,35.0163977816469
od1500k,vehev1,tpn2,32556,3520.96,78678.41,4743.00,1222.04,25.539217655928482
od1500k,vehev2,no-preemption,22760,8014.69,109899.61,8909.00,894.3100000000004,
od1500k,vehev3,no-preemption,10105,1250.66,52852.86,1982.00,731.3399999999999,
od1500k,vehev3,tpn,30366,92.53,50174.38,824.00,731.47,96.79359897982874
od1500k,vehev2,no-preemption,27422,18141.53,139507.49,19036.00,894.4700000000012,
od1500k,vehev1,kapusta,2094,1912.16,73093.96,3133.00,1220.84,5.5280254934413575
od1500k,vehev1,kapusta2,11718,5512.96,78861.29,6734.00,1221.04,-51.37883975913209
od1500k,vehev1,tpn2,14368,1376.00,55502.65,2596.00,1220.0,65.66343680051105
od1500k,vehev1,no-preemption,227,2292.81,66467.39,3516.00,1223.19,
od1500k,vehev1,kapusta2,10280,2969.13,76722.51,4190.00,1220.87,7.230922088634484
od1500k,vehev1,kapusta2,15239,3559.56,83229.53,4781.00,1221.44,-48.7569320523054
od1500k,vehev3,kapusta2,27548,577.51,57884.67,1310.00,732.49,53.78847892711109
od1500k,vehev3,tpn,16993,2939.97,72314.87,3672.00,732.0300000000002,16.051705823900953
od1500k,vehev1,tpn2,6479,315.71,52777.07,1537.00,1221.29,92.46524504480853
od1500k,vehev3,kapusta2,32668,1914.46,57089.98,2645.00,730.54,-19.223799174227942
od1500k,vehev1,allgreen,12837,385.12,46152.00,1605.00,1219.88,87.60452406547921
od1500k,vehev3,kapusta,16993,15363.96,135564.18,16095.00,731.0400000000009,-338.7045560974495
od1500k,vehev1,kapusta,30366,1697.95,58014.55,2919.00,1221.05,-1.8822978794897471
od1500k,vehev1,kapusta2,32556,4800.37,86150.26,6023.00,1222.63,-1.5175707025954832
od1500k,vehev1,no-preemption,16250,2124.82,73402.34,3345.00,1220.1799999999998,
od1500k,vehev2,allgreen,16250,151.86,47640.82,1045.00,893.14,95.96993774182762
od1500k,vehev3,allgreen,10105,333.40,49022.61,1065.00,731.6,73.34207538419714
od1500k,vehev1,allgreen,22760,203.14,50414.39,1425.00,1221.8600000000001,93.30357731510173
od1500k,vehev3,tpn2,14368,835.08,52375.51,1567.00,731.92,62.35953790053954
od1500k,vehev2,no-preemption,227,8524.78,99995.35,9419.00,894.2199999999993,
od1500k,vehev3,allgreen,2094,71.66,49313.54,803.00,731.34,97.68923686128326
od1500k,vehev1,no-preemption,31737,3199.48,79368.91,4421.00,1221.52,
od1500k,vehev3,allgreen,30616,71.46,44688.07,803.00,731.54,97.33805177872974
od1500k,vehev1,tpn2,17651,592.29,50110.22,1814.00,1221.71,88.7459171671838
od1500k,vehev1,no-preemption,27422,2380.35,69784.14,3602.00,1221.65,
od1500k,vehev1,allgreen,16993,597.49,47939.38,1819.00,1221.51,77.53062091736771
od1500k,vehev1,allgreen,21907,194.28,49631.62,1415.00,1220.72,92.95566288126005
od1500k,vehev1,kapusta2,10105,2286.61,59281.62,3508.00,1221.3899999999999,-23.579832568596615
od1500k,vehev1,kapusta2,14368,3890.72,73653.84,5113.00,1222.2800000000002,2.911371241631089
od1500k,vehev2,kapusta2,22737,50798.12,329051.00,51694.00,895.8799999999974,-12.996879346675904
od1500k,vehev3,allgreen,20276,3595.18,75350.71,4326.00,730.8200000000002,-60.700700432238655
od1500k,vehev2,no-preemption,22570,19967.27,149986.97,20862.00,894.7299999999996,
od1500k,vehev3,tpn2,30616,94.59,45683.02,825.00,730.41,96.47643881542186
od1500k,vehev2,allgreen,21907,5441.64,93238.05,6337.00,895.3599999999997,73.02605522341227
od1500k,vehev3,kapusta2,11718,862.10,51703.02,1594.00,731.9,56.1294590606076
od1500k,vehev1,allgreen,2094,118.46,54040.78,1339.00,1220.54,94.14737778216941
od1500k,vehev1,kapusta2,6479,5576.08,85607.67,6798.00,1221.92,-33.07908020190688
od1500k,vehev1,allgreen,14368,255.27,56209.85,1476.00,1220.73,93.63001854074598
od1500k,vehev2,allgreen,15239,401.92,48723.66,1296.00,894.0799999999999,97.15114820238529
od1500k,vehev2,allgreen,12811,31191.20,192031.65,32086.00,894.7999999999993,-91.92694873120185
od1500k,vehev2,allgreen,10105,9316.49,113769.52,10212.00,895.5100000000002,-109.74818483705748
